damage.function,gas,discount.rate,emissions.year,scghg
MimiIWG,HFC134a,3%,2072,324991
MimiIWG,HFC134a,3%,2073,334504
MimiIWG,HFC134a,3%,2074,344018
MimiIWG,HFC134a,3%,2075,353531
MimiIWG,HFC134a,3%,2076,363044
MimiIWG,HFC134a,3%,2077,372557
MimiIWG,HFC134a,3%,2078,382070
MimiIWG,HFC134a,3%,2079,391584
MimiIWG,HFC134a,3%,2080,401097
MimiIWG,HFC134a,3%,2081,404305
MimiIWG,HFC134a,3%,2082,407513
MimiIWG,HFC134a,3%,2083,410721
MimiIWG,HFC134a,3%,2084,413929
MimiIWG,HFC134a,3%,2085,417137
MimiIWG,HFC134a,3%,2086,420346
MimiIWG,HFC134a,3%,2087,423554
MimiIWG,HFC134a,3%,2088,426762
MimiIWG,HFC134a,3%,2089,429970
MimiIWG,HFC134a,3%,2090,433178
MimiIWG,HFC134a,3%,2091,436410
MimiIWG,HFC134a,3%,2092,439642
MimiIWG,HFC134a,3%,2093,442874
MimiIWG,HFC134a,3%,2094,446106
MimiIWG,HFC134a,3%,2095,449338
MimiIWG,HFC134a,3%,2096,452570
MimiIWG,HFC134a,3%,2097,455802
MimiIWG,HFC134a,3%,2098,459034
MimiIWG,HFC134a,3%,2099,462266
MimiIWG,HFC134a,3%,2100,465497
MimiIWG,HFC143a,2%,2020,557936
MimiIWG,HFC143a,2%,2021,569687
MimiIWG,HFC143a,2%,2022,581439
MimiIWG,HFC143a,2%,2023,593190
MimiIWG,HFC143a,2%,2024,604942
MimiIWG,HFC143a,2%,2025,616693
MimiIWG,HFC143a,2%,2026,628445
MimiIWG,HFC143a,2%,2027,640196
MimiIWG,HFC143a,2%,2028,651948
MimiIWG,HFC143a,2%,2029,663699
MimiIWG,HFC143a,2%,2030,675450
MimiIWG,HFC143a,2%,2031,688090
MimiIWG,HFC143a,2%,2032,700729
MimiIWG,HFC143a,2%,2033,713368
MimiIWG,HFC143a,2%,2034,726008
MimiIWG,HFC143a,2%,2035,738647
MimiIWG,HFC143a,2%,2036,751286
MimiIWG,HFC143a,2%,2037,763926
MimiIWG,HFC143a,2%,2038,776565
MimiIWG,HFC143a,2%,2039,789204
MimiIWG,HFC143a,2%,2040,801844
MimiIWG,HFC143a,2%,2041,814857
MimiIWG,HFC143a,2%,2042,827871
MimiIWG,HFC143a,2%,2043,840885
MimiIWG,HFC143a,2%,2044,853898
MimiIWG,HFC143a,2%,2045,866912
MimiIWG,HFC143a,2%,2046,879925
MimiIWG,HFC143a,2%,2047,892939
MimiIWG,HFC143a,2%,2048,905953
MimiIWG,HFC143a,2%,2049,918966
MimiIWG,HFC143a,2%,2050,931980
MimiIWG,HFC143a,2%,2051,944163
MimiIWG,HFC143a,2%,2052,956347
MimiIWG,HFC143a,2%,2053,968530
MimiIWG,HFC143a,2%,2054,980713
MimiIWG,HFC143a,2%,2055,992897
MimiIWG,HFC143a,2%,2056,1005080
MimiIWG,HFC143a,2%,2057,1017263
MimiIWG,HFC143a,2%,2058,1029447
MimiIWG,HFC143a,2%,2059,1041630
MimiIWG,HFC143a,2%,2060,1053814
MimiIWG,HFC143a,2%,2061,1073447
MimiIWG,HFC143a,2%,2062,1093081
MimiIWG,HFC143a,2%,2063,1112715
MimiIWG,HFC143a,2%,2064,1132349
MimiIWG,HFC143a,2%,2065,1151983
MimiIWG,HFC143a,2%,2066,1171616
MimiIWG,HFC143a,2%,2067,1191250
MimiIWG,HFC143a,2%,2068,1210884
MimiIWG,HFC143a,2%,2069,1230518
MimiIWG,HFC143a,2%,2070,1250151
MimiIWG,HFC143a,2%,2071,1270254
MimiIWG,HFC143a,2%,2072,1290356
MimiIWG,HFC143a,2%,2073,1310458
MimiIWG,HFC143a,2%,2074,1330560
MimiIWG,HFC143a,2%,2075,1350662
MimiIWG,HFC143a,2%,2076,1370765
MimiIWG,HFC143a,2%,2077,1390867
MimiIWG,HFC143a,2%,2078,1410969
MimiIWG,HFC143a,2%,2079,1431071
MimiIWG,HFC143a,2%,2080,1451173
MimiIWG,HFC143a,2%,2081,1461886
MimiIWG,HFC143a,2%,2082,1472600
MimiIWG,HFC143a,2%,2083,1483313
MimiIWG,HFC143a,2%,2084,1494026
MimiIWG,HFC143a,2%,2085,1504739
MimiIWG,HFC143a,2%,2086,1515453
MimiIWG,HFC143a,2%,2087,1526166
MimiIWG,HFC143a,2%,2088,1536879
MimiIWG,HFC143a,2%,2089,1547592
MimiIWG,HFC143a,2%,2090,1558305
MimiIWG,HFC143a,2%,2091,1569153
MimiIWG,HFC143a,2%,2092,1580000
MimiIWG,HFC143a,2%,2093,1590847
MimiIWG,HFC143a,2%,2094,1601694
MimiIWG,HFC143a,2%,2095,1612541
MimiIWG,HFC143a,2%,2096,1623388
MimiIWG,HFC143a,2%,2097,1634236
MimiIWG,HFC143a,2%,2098,1645083
MimiIWG,HFC143a,2%,2099,1655930
MimiIWG,HFC143a,2%,2100,1666777
MimiIWG,HFC143a,3%,2020,267663
MimiIWG,HFC143a,3%,2021,275085
MimiIWG,HFC143a,3%,2022,282508
MimiIWG,HFC143a,3%,2023,289930
MimiIWG,HFC143a,3%,2024,297353
MimiIWG,HFC143a,3%,2025,304775
MimiIWG,HFC143a,3%,2026,312198
MimiIWG,HFC143a,3%,2027,319620
MimiIWG,HFC143a,3%,2028,327043
MimiIWG,HFC143a,3%,2029,334465
MimiIWG,HFC143a,3%,2030,341888
MimiIWG,HFC143a,3%,2031,350343
MimiIWG,HFC143a,3%,2032,358798
MimiIWG,HFC143a,3%,2033,367253
MimiIWG,HFC143a,3%,2034,375708
MimiIWG,HFC143a,3%,2035,384163
MimiIWG,HFC143a,3%,2036,392619
MimiIWG,HFC143a,3%,2037,401074
MimiIWG,HFC143a,3%,2038,409529
MimiIWG,HFC143a,3%,2039,417984
MimiIWG,HFC143a,3%,2040,426439
MimiIWG,HFC143a,3%,2041,435574
MimiIWG,HFC143a,3%,2042,444708
MimiIWG,HFC143a,3%,2043,453842
MimiIWG,HFC143a,3%,2044,462977
MimiIWG,HFC143a,3%,2045,472111
MimiIWG,HFC143a,3%,2046,481245
MimiIWG,HFC143a,3%,2047,490380
MimiIWG,HFC143a,3%,2048,499514
MimiIWG,HFC143a,3%,2049,508648
MimiIWG,HFC143a,3%,2050,517783
MimiIWG,HFC143a,3%,2051,526693
MimiIWG,HFC143a,3%,2052,535604
MimiIWG,HFC143a,3%,2053,544514
MimiIWG,HFC143a,3%,2054,553425
MimiIWG,HFC143a,3%,2055,562335
MimiIWG,HFC143a,3%,2056,571245
MimiIWG,HFC143a,3%,2057,580156
MimiIWG,HFC143a,3%,2058,589066
MimiIWG,HFC143a,3%,2059,597977
MimiIWG,HFC143a,3%,2060,606887
MimiIWG,HFC143a,3%,2061,622812
MimiIWG,HFC143a,3%,2062,638737
MimiIWG,HFC143a,3%,2063,654662
MimiIWG,HFC143a,3%,2064,670587
MimiIWG,HFC143a,3%,2065,686512
MimiIWG,HFC143a,3%,2066,702437
MimiIWG,HFC143a,3%,2067,718362
MimiIWG,HFC143a,3%,2068,734286
MimiIWG,HFC143a,3%,2069,750211
MimiIWG,HFC143a,3%,2070,766136
MimiIWG,HFC143a,3%,2071,782512
MimiIWG,HFC143a,3%,2072,798887
MimiIWG,HFC143a,3%,2073,815262
MimiIWG,HFC143a,3%,2074,831638
MimiIWG,HFC143a,3%,2075,848013
MimiIWG,HFC143a,3%,2076,864388
MimiIWG,HFC143a,3%,2077,880763
MimiIWG,HFC143a,3%,2078,897139
MimiIWG,HFC143a,3%,2079,913514
MimiIWG,HFC143a,3%,2080,929889
MimiIWG,HFC143a,3%,2081,936954
MimiIWG,HFC143a,3%,2082,944019
MimiIWG,HFC143a,3%,2083,951084
MimiIWG,HFC143a,3%,2084,958149
MimiIWG,HFC143a,3%,2085,965213
MimiIWG,HFC143a,3%,2086,972278
